np.array([[745712,-215109,-204866,2048.66,200769,-102433,0,0,0,-98335.7,-104482,-4097.32,0,0,0,2048.66,-102433,200769,-100384,100384,100384,0,0,0,0,0,0,0,0,0,98335.7,-202817,100384,0,0,0,0,0,0,-200769,100384,-102433,0,0,0,0,0,0,-100384,0,94238.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98335.7,0,-108579,0,0,0,0,0,0,0,0,0],
[-215109,333932,-4097.32,-4097.32,0,-2048.66,0,0,0,-102433,-106530,0,0,0,0,100384,4097.32,-104482,0,2048.66,0,0,0,0,0,0,0,0,0,0,0,102433,98335.7,0,0,0,0,0,0,100384,-98335.7,98335.7,0,0,0,0,0,0,0,-94238.3,-106530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100384,-100384,-2048.66,0,0,0,0,0,0,0,0,0],
[-204866,-4097.32,223304,0,-200769,100384,0,0,0,0,0,-4097.32,0,0,0,0,2048.66,-2048.66,100384,2048.66,-102433,0,0,0,0,0,0,0,0,0,4097.32,-4097.32,-4097.32,0,0,0,0,0,0,100384,0,0,0,0,0,0,0,0,0,98335.7,-102433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2048.66,0,0,0,0,0,0,0,0,0],
[8194.64,-16389.3,0,16389.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8194.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8194.64,8194.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],
[803075,0,-803075,0,844048,-417927,0,0,0,0,0,0,0,0,0,0,0,0,-409732,8194.64,401537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-417927,0,0,0,0,0,0,0,0,-8194.64,-401537,401537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],
[-409732,-8194.64,401537,0,-417927,442511,0,0,0,0,0,0,0,0,0,0,0,0,401537,0,-401537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8194.64,-8194.64,8194.64,0,0,0,0,0,0,-8194.64,-8194.64,16389.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,745712,598209,-200769,-104482,-102433,100384,0,0,0,-100384,-100384,0,0,0,0,-104482,0,-106530,-104482,0,-100384,0,0,0,-200769,104482,-2048.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048.66,100384,-2048.66,-2048.66,-4097.32,-102433,-102433,-6145.98,-204866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,598209,639182,-208963,0,2048.66,0,0,0,0,-102433,-108579,0,0,0,0,-102433,2048.66,-100384,-104482,0,-100384,0,0,0,-204866,98335.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200769,-98335.7,0,0,-100384,-100384,-6145.98,-202817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],
[0,0,0,0,0,0,-200769,-208963,325737,-106530,-100384,100384,0,0,0,-4097.32,0,96287,0,0,0,100384,0,100384,0,0,100384,0,0,0,0,-104482,2048.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048.66,-2048.66,-100384,100384,-2048.66,-100384,2048.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],
[-131114,-136577,0,0,0,0,-139309,0,-142040,846779,803075,-264960,2731.55,267692,-136577,-139309,0,-133846,0,0,0,0,0,0,0,0,0,0,0,0,-136577,-8194.64,-273155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2731.55,-5463.09,-136577,0,0,0,0,0,0,0,0,0,-267692,133846,0,0,0,0,0,0,0,0,0,0],
